"","X","機動車輛數.輛....合計","機動車輛數.輛....汽車..不含軍車.","機動車輛數.輛....機車","肇事總件數.件.","肇事率.件.萬輛.","A1類件數.件.","A1類死亡人數.人.","A1類受傷人數.人.","A2類件數.件.","A2類受傷人數.人.","A1類肇事件數按肇事原因.件....汽.機.慢.車駕駛人","A1類肇事件數按肇事原因.件....機件","A1類肇事件數按肇事原因.件....行人.或乘客.","A1類肇事件數按肇事原因.件....交通管制.設施.","A1類肇事件數按肇事原因.件....其他"
"1","2000M01",16375878,5384785,10991093,3893,2.38,228,242,110,3665,4680,224,2,1,0,1
"2","2000M02",16423704,5395403,11028301,3086,1.88,198,218,102,2888,3745,194,1,2,1,0
"3","2000M03",16458347,5392777,11065570,3525,2.14,270,293,138,3255,4230,267,2,1,0,0
"4","2000M04",16532431,5406194,11126237,3753,2.28,244,259,139,3509,4543,234,4,6,0,0
"5","2000M05",16560218,5421514,11138704,4400,2.66,267,275,110,4133,5465,265,1,0,1,0
"6","2000M06",16618046,5442371,11175675,4480,2.7,300,311,152,4180,5436,293,2,5,0,0
"7","2000M07",16679251,5460837,11218414,4555,2.74,263,282,148,4292,5728,259,2,2,0,0
"8","2000M08",16771059,5512973,11258086,4691,2.8,267,286,124,4424,5804,261,2,3,1,0
"9","2000M09",16845887,5538202,11307685,4581,2.73,264,272,122,4317,5726,260,2,2,0,0
"10","2000M10",16919426,5563793,11355633,5313,3.15,296,310,128,5017,6703,290,3,2,1,0
"11","2000M11",16968352,5578243,11390109,5126,3.03,290,306,108,4836,6346,282,3,5,0,0
"12","2000M12",17022689,5599517,11423172,5549,3.26,320,334,160,5229,6948,312,2,6,0,0
"13","2001M01",17074074,5627706,11446368,5439,3.19,339,356,148,5100,6630,328,4,7,0,0
"14","2001M02",17121351,5643186,11478165,4573,2.67,253,274,102,4320,5553,247,2,4,0,0
"15","2001M03",17171744,5658980,11512764,5513,3.22,271,290,133,5242,6776,265,2,4,0,0
"16","2001M04",17189428,5662231,11527197,5261,3.06,252,278,161,5009,6479,244,2,6,0,0
"17","2001M05",17228532,5678132,11550400,5497,3.19,274,293,135,5223,6712,263,3,8,0,0
"18","2001M06",17269620,5692999,11576621,5124,2.97,239,251,129,4885,6399,234,1,4,0,0
"19","2001M07",17312924,5705860,11607064,5318,3.08,242,258,97,5076,6661,234,4,3,0,1
"20","2001M08",17360978,5719648,11641330,5581,3.22,260,277,145,5321,6953,253,2,5,0,0
"21","2001M09",17406748,5726881,11679867,4896,2.82,226,233,87,4670,5958,224,1,1,0,0
"22","2001M10",17435691,5727976,11707715,5687,3.26,258,272,118,5429,7149,253,2,3,0,0
"23","2001M11",17465820,5738327,11727493,5773,3.31,267,282,116,5506,7039,259,2,6,0,0
"24","2001M12",17465037,5731835,11733202,5602,3.21,261,280,119,5341,6813,254,3,4,0,0
"25","2002M01",17508750,5758288,11750462,6147,3.52,275,293,117,5872,7487,270,2,3,0,0
"26","2002M02",17544368,5770243,11774125,5202,2.97,188,201,89,5014,6463,181,3,4,0,0
"27","2002M03",17567184,5770156,11797028,5998,3.42,226,232,114,5772,7434,220,1,5,0,0
"28","2002M04",17596468,5778578,11817890,6427,3.66,231,236,119,6196,8046,225,1,5,0,0
"29","2002M05",17644900,5797416,11847484,6973,3.96,227,235,100,6746,8785,217,4,5,0,1
"30","2002M06",17695136,5815164,11879972,6775,3.83,227,233,69,6548,8422,222,1,4,0,0
"31","2002M07",17750170,5834441,11915729,7585,4.28,214,224,126,7371,9572,209,0,4,1,0
"32","2002M08",17799150,5847409,11951741,7632,4.29,210,234,120,7422,9657,204,4,1,0,1
"33","2002M09",17853306,5862898,11990408,7393,4.15,223,232,81,7170,9346,211,3,8,0,1
"34","2002M10",17876542,5883473,11993069,8659,4.85,242,250,141,8417,11086,225,5,11,0,1
"35","2002M11",17894423,5902692,11991731,8809,4.93,221,233,122,8588,11157,218,1,2,0,0
"36","2002M12",17906957,5923200,11983757,8659,4.84,241,258,86,8418,10855,234,1,5,1,0
"37","2003M01",17951937,5952790,11999147,10175,5.68,260,277,114,9915,12836,254,1,5,0,0
"38","2003M02",17967139,5955519,12011620,7977,4.44,203,209,99,7774,10285,192,1,9,1,0
"39","2003M03",18002305,5968580,12033725,9798,5.45,192,204,55,9606,12625,184,2,6,0,0
"40","2003M04",18034555,5983009,12051546,9705,5.39,203,208,70,9502,12446,196,2,5,0,0
"41","2003M05",18085551,6005145,12080406,9772,5.41,209,213,65,9563,12492,204,0,5,0,0
"42","2003M06",18142821,6027757,12115064,9800,5.41,183,203,107,9617,12675,176,2,5,0,0
"43","2003M07",18215069,6054980,12160089,10401,5.72,225,236,86,10176,13458,215,4,6,0,0
"44","2003M08",18269895,6068445,12201450,9915,5.44,220,229,124,9695,12873,213,1,6,0,0
"45","2003M09",18364797,6086804,12277993,9733,5.31,234,246,150,9499,12562,230,2,2,0,0
"46","2003M10",18422766,6108061,12314705,10854,5.9,205,230,177,10649,14254,192,1,12,0,0
"47","2003M11",18465223,6129644,12335579,10310,5.59,220,237,78,10090,13357,211,0,9,0,0
"48","2003M12",18500658,6133794,12366864,11783,6.38,218,226,137,11565,15178,207,3,7,1,0
"49","2004M01",18557796,6170215,12387581,11083,5.98,213,228,131,10870,14304,200,1,12,0,0
"50","2004M02",18593499,6184874,12408625,10636,5.73,201,206,120,10435,13651,191,1,8,0,1
"51","2004M03",18646915,6203014,12443901,11158,5.99,197,204,96,10961,14380,187,0,9,0,1
"52","2004M04",18698995,6222576,12476419,10829,5.8,194,207,85,10635,14054,181,3,10,0,0
"53","2004M05",18749007,6239680,12509327,11736,6.27,224,241,127,11512,15362,215,2,7,0,0
"54","2004M06",18812455,6261511,12550944,11247,5.99,194,205,80,11053,14726,190,0,4,0,0
"55","2004M07",18905423,6303875,12601548,11238,5.96,205,217,101,11033,14445,197,2,6,0,0
"56","2004M08",18949737,6317563,12632174,10946,5.78,161,172,77,10785,14328,155,2,4,0,0
